Word,Coefficient
remote,-2.2081326716342344
terrible,-1.965016824444198
app,-1.544898971629809
months,-1.5390543511489472
netflix,-1.5274752413410426
just,-1.4707762254918857
upgraded,-1.413077484234784
horrible,-1.3977663852174385
charger,-1.3888671581046828
instructions,-1.3298191856425647
return,-1.3265566738288277
useless,-1.3152389638008795
waste,-1.3096196260791204
cover,-1.2737718378299105
stopped,-1.26645574710524
doesnt,-1.262404003243862
weeks,-1.2612854533054492
thought,-1.1781852877596701
customer,-1.1686419153293839
working,-1.1165319881138933
