Word,Coefficient
great,2.6918546038130917
alexa,2.023371683567077
love,1.4132155314979342
sound,1.4113627516216536
tap,1.2966263966742326
gift,1.2143606607228248
easy,1.181977264736064
echo,1.080636001438303
headphones,1.0657441217334294
look,1.063928421101117
speaker,1.0570673224735307
good,1.0058656381822866
want,1.003784625241829
play,0.9810307787040028
best,0.9778458445386402
paperwhite,0.9460836618008308
recommend,0.8982871438249155
read,0.8942215842267659
set,0.8857584474092429
features,0.8653536315747452
